type,timestamp,cluster,node,sourceip,user,latitude,longitude,city,country
INVALID_USER,2019-03-28T03:57:42.576Z,pc439,node-50,176.155.113.223,other
INVALID_USER,2019-03-28T03:57:42.576Z,pc467,serv1,UNKNOWN,other
INVALID_USER,2019-03-28T03:57:42.576Z,pc424,node-36,UNKNOWN,other
UNABLE_TO_NEGOTIATE,2019-03-28T03:57:42.576Z,pc420,localhost,209.146.20.162,UNKNOWN
UNABLE_TO_NEGOTIATE,2019-03-28T03:57:42.575Z,pc313,pc313,209.146.20.162,UNKNOWN
INVALID_USER,2019-03-28T03:57:44.649Z,pc216,localhost,209.146.20.162,other
INVALID_USER,2019-03-28T03:57:44.649Z,pc459,serv10,UNKNOWN,other
INVALID_USER,2019-03-28T03:57:44.649Z,pc433,node-61,209.146.20.162,other
INVALID_USER,2019-03-28T03:57:44.649Z,pc765,pc765,209.146.20.162,other
INVALID_USER,2019-03-28T03:57:45.708Z,pc536,node-27,UNKNOWN,other
INVALID_USER,2019-03-28T03:57:43.585Z,pc317,localhost,209.146.20.162,other
DISCONNECT_INVALID_USER,2019-03-28T03:57:45.709Z,pc787,vhost-0,209.146.20.162,other
INVALID_USER,2019-03-28T03:57:45.709Z,pc424,node-36,209.146.20.162,other
UNABLE_TO_NEGOTIATE,2019-03-28T03:57:44.649Z,pc496,node-73,209.146.20.162,UNKNOWN
INVALID_USER,2019-03-28T03:57:45.709Z,pc496,node-73,209.146.20.162,other
FAILED_PASSWORD,2019-03-28T03:57:45.709Z,pc787,vhost-0,209.146.20.162,other
UNABLE_TO_NEGOTIATE,2019-03-28T03:57:45.709Z,pc433,node-61,209.146.20.162,UNKNOWN
UNABLE_TO_NEGOTIATE,2019-03-28T03:57:44.649Z,pc424,node-36,209.146.20.162,UNKNOWN
UNABLE_TO_NEGOTIATE,2019-03-28T03:57:45.709Z,pc542,node-33,209.146.20.162,UNKNOWN
UNABLE_TO_NEGOTIATE,2019-03-28T03:57:44.648Z,pc775,pc775,209.146.20.162,UNKNOWN
INVALID_USER,2019-03-28T03:57:45.709Z,ops,UNKNOWN,209.146.20.162,other
INVALID_USER,2019-03-28T03:57:55.589Z,clnode070,node-5,46.209.114.138,other
FAILED_PASSWORD,2019-03-28T03:57:56.067Z,hp007,ovscontr,61.184.247.4,other
INVALID_USER,2019-03-28T03:57:56.095Z,pc806,localhost,209.146.20.162,other
INVALID_USER,2019-03-28T03:57:56.095Z,pc211,localhost,209.146.20.162,other
INVALID_USER,2019-03-28T03:57:56.094Z,pc450,serv24,UNKNOWN,other
UNABLE_TO_NEGOTIATE,2019-03-28T03:57:56.095Z,pc790,localhost,209.146.20.162,UNKNOWN
